trainStart,trainEnd,testStart,testEnd,rsiBuy,rsiSell,atrMult,adxMin,trades,closedTrades,winRate,pnl,maxDrawdown,score
2023-04-01,2023-05-31,2023-05-31,2023-06-30,25,65,1.5,15,16,8,0,-1385.48,1307.7,-1.0587
2023-06-30,2023-08-29,2023-08-29,2023-09-28,35,65,2.5,15,26,13,23.08,-1267.19,1519.21,-0.8336
2023-09-28,2023-11-27,2023-11-27,2023-12-27,25,70,1.5,20,12,6,50,-446.78,1194.54,-0.3737
2023-12-27,2024-02-25,2024-02-25,2024-03-26,25,65,2,18,6,3,33.33,-1397.35,1438.48,-0.9707
2024-03-26,2024-05-25,2024-05-25,2024-06-24,25,65,2.5,12,9,4,50,919.44,1228.27,0.748
2024-06-24,2024-08-23,2024-08-23,2024-09-22,35,75,2,18,34,17,41.18,419.08,1864.35,0.2247
2024-09-22,2024-11-21,2024-11-21,2024-12-21,35,75,1.5,18,39,19,36.84,4040.53,8468.5,0.4771
